Time (s),Injector Temp (C),NOX Pressure (PSI),Ox Tank Load Cell (kg),Thrust Load Cell (lbf),Chamber Pressure (PSI),Light Sensor (V),Nitrous Bottle (PSI),Comment
1639.274,22.160048,673.033964,-6.990692,31.202319,8.412062,0.496875,513.270625,
1639.275,24.153453,675.430851,-6.968813,31.792433,7.796723,0.486047,509.535762,
1639.276,22.33724,675.233847,-6.990692,31.497376,7.468542,0.487359,511.752054,
1639.277,23.046006,674.708501,-6.990692,29.431979,8.083881,0.518204,512.901243,
1639.278,21.894261,671.851937,-6.979752,31.399024,10.011943,0.522797,510.643908,
1639.279,21.229793,673.953318,-6.979752,32.480898,7.673655,0.518532,505.062136,
1639.28,21.672771,674.77417,-6.979752,33.169364,7.386497,0.538548,514.460856,
1639.281,22.248644,669.093876,-6.990692,34.152886,7.919791,0.53822,509.617847,
1639.282,22.071452,670.834081,-6.979752,31.595728,8.576152,0.537563,506.416536,
1639.283,21.938559,674.478663,-6.968813,32.677603,8.206949,0.530673,510.767035,
1639.284,21.229793,674.577165,-6.968813,33.562773,8.86331,0.537563,511.218502,
1639.285,22.11575,672.574287,-7.001632,36.611692,7.099339,0.529032,509.33055,
1639.286,22.425835,675.036842,-6.968813,31.300672,8.330017,0.496875,512.285606,
1639.287,22.027155,673.033964,-6.979752,33.169364,8.617175,0.482437,513.804177,
1639.288,22.691623,673.198134,-6.968813,32.775955,8.124904,0.48014,514.625026,
1639.289,20.609622,671.425095,-6.990692,32.972659,6.730135,0.486047,510.931205,
1639.29,22.425835,675.463685,-6.968813,36.414988,7.263429,0.503109,510.767035,
1639.291,20.831112,671.260924,-6.946933,31.497376,7.427519,0.488343,513.557922,
1639.292,22.248644,672.836959,-6.990692,31.005615,10.052966,0.490969,512.039351,
1639.293,21.894261,675.693524,-6.979752,31.399024,6.689113,0.499172,511.793097,
1639.294,23.134602,672.738457,-6.979752,32.972659,7.796723,0.509016,513.804177,
1639.295,21.052601,673.920484,-6.979752,32.087489,7.468542,0.524438,510.151399,
1639.296,21.672771,673.329471,-6.979752,32.579251,9.109446,0.537892,513.35271,
1639.297,21.096899,675.98903,-6.957873,33.169364,8.781265,0.536251,511.711012,
1639.298,21.982857,674.412995,-6.968813,30.80891,7.59161,0.542157,516.389852,
1639.299,21.362686,669.520719,-6.979752,32.775955,7.345474,0.50836,512.901243,
1639.3,22.603027,675.398017,-6.979752,32.972659,8.288994,0.53986,514.583984,Standby
1639.301,22.071452,669.750557,-6.979752,32.677603,8.86331,0.503438,508.920125,
1639.302,22.027155,670.111732,-6.968813,33.956182,8.494107,0.529032,515.322748,
1639.303,20.565324,673.230968,-6.979752,31.103967,7.386497,0.512625,510.192441,
1639.304,22.425835,669.684889,-6.990692,31.792433,7.468542,0.496219,512.778116,
1639.305,22.95741,670.505741,-6.990692,32.677603,8.822288,0.499172,509.699932,
1639.306,21.982857,672.442951,-6.979752,33.267716,8.576152,0.494578,514.173559,
1639.307,23.311793,671.556431,-6.979752,29.727036,7.427519,0.500156,510.315569,
1639.308,21.894261,672.147444,-6.979752,31.595728,8.330017,0.501797,513.147498,
1639.309,20.919707,672.705623,-6.990692,31.300672,8.781265,0.505406,511.34163,
1639.31,21.096899,671.06392,-6.968813,30.907263,7.7557,0.506063,511.587885,
1639.311,21.052601,671.031086,-6.968813,32.087489,7.960813,0.520172,510.725993,
1639.312,22.95741,674.347327,-6.968813,32.382546,7.304452,0.531985,509.289507,
1639.313,21.008303,672.902628,-7.001632,32.972659,7.386497,0.537235,506.868003,
1639.314,22.603027,675.332349,-6.968813,29.333627,7.796723,0.535923,511.300587,
1639.315,21.982857,673.88765,-6.968813,31.103967,8.494107,0.518532,512.244564,
1639.316,21.141197,669.258046,-6.968813,33.071012,7.878768,0.540517,511.300587,
1639.317,21.894261,675.299515,-6.979752,33.169364,6.566045,0.527719,511.17746,
1639.318,21.761367,668.995374,-7.012572,31.103967,8.781265,0.52936,511.259545,
